,Title,Artist
308,Right Back,Khalid Featuring A Boogie Wit da Hoodie
309,Die For Me,Post Malone Featuring Future & Halsey
310,POP STAR,DaBaby Featuring Kevin Gates
311,No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny"
312,Without Me,Halsey
313,iPHONE,DaBaby & Nicki Minaj
314,OFF THE RIP,DaBaby
315,GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris"
316,REALLY,DaBaby Featuring Stunna 4 Vegas
317,XXL,DaBaby
318,PROLLY HEARD,DaBaby
319,Chicken Noodle Soup,j-hope Featuring Becky G.
320,By My Lonely,Kevin Gates
321,On The Road,Post Malone Featuring Meek Mill & Lil Baby
322,There He Go,DaBaby
323,The Ones That Didn't Make It Back Home,Justin Moore
324,Adicto,"Tainy, Anuel AA & Ozuna"
325,Did It Again,Lil Tecca
326,Pop Out,Polo G Featuring Lil Tjay
327,Beer Never Broke My Heart,Luke Combs
328,Speechless,Dan + Shay
329,Knockin' Boots,Luke Bryan
330,Behind Barz,Drake
331,A Thousand Bad Times,Post Malone
332,It's You,Ali Gatie
333,Slide Away,Miley Cyrus
334,Shameless,Camila Cabello
335,Queen Of Mean,Sarah Jeffery
336,Rearview Town,Jason Aldean
337,Staring At The Sun,Post Malone Featuring SZA
338,I'm Gonna Be,Post Malone
339,Mood Swings,A Boogie Wit da Hoodie
340,All To Myself,Dan + Shay
341,Allergic,Post Malone
342,Press,Cardi B
343,"1, 2 Many",Luke Combs & Brooks & Dunn
344,"Hey Look Ma, I Made It",Panic! At The Disco
345,Myself,Post Malone
346,I Know,Post Malone
347,Internet,Post Malone
348,Buy My Own Drinks,Runaway June
349,Easier,5 Seconds Of Summer
350,Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie"
351,The Man,Taylor Swift
352,Go Loko,"YG, Tyga & Jon Z"
353,Doin' Time,Lana Del Rey
354,7 Rings,Ariana Grande
355,Whiskey Glasses,Morgan Wallen
356,God's Country,Blake Shelton
357,Shotta Flow,NLE Choppa
358,ME!,Taylor Swift Featuring Brendon Urie
359,Babushka Boi,A$AP Rocky
360,Cruel Summer,Taylor Swift
361,I Forgot That You Existed,Taylor Swift
362,Call You Mine,The Chainsmokers & Bebe Rexha
363,Out Of Luck,Lil Tecca
364,Shots,Lil Tecca
365,Juice,Lizzo
366,Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy
367,God Only Knows,for KING & COUNTRY
368,Love Me,Lil Tecca
369,Soltera,"Lunay, Daddy Yankee & Bad Bunny"
370,The Archer,Taylor Swift
371,Paper Rings,Taylor Swift
372,Miss Americana & The Heartbreak Prince,Taylor Swift
373,I Think He Knows,Taylor Swift
374,Cornelia Street,Taylor Swift
375,London Boy,Taylor Swift
376,Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks
377,Death By A Thousand Cuts,Taylor Swift
378,Afterglow,Taylor Swift
379,False God,Taylor Swift
380,Daylight,Taylor Swift
381,Raised On Country,Chris Young
382,It's Nice To Have A Friend,Taylor Swift
383,Never Really Over,Katy Perry
384,Earfquake,"Tyler, The Creator"
385,Clout,Offset Featuring Cardi B
386,What's The Move,Young Thug Featuring Lil Uzi Vert
387,Just How It Is,Young Thug
388,Sup Mate,Young Thug Featuring Future
389,Won't Be Late,Swae Lee Featuring Drake
390,Light It Up,Young Thug
391,Lil Baby,Young Thug
392,Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke
393,Some Of It,Eric Church
394,Ecstasy,Young Thug Featuring Machine Gun Kelly
395,Uno,Ambjaay
396,Daddy,Blueface & Rich The Kid
397,Takeaway,The Chainsmokers & Illenium Featuring Lennon Stella
398,Happier,Marshmello & Bastille
399,Sweet But Psycho,Ava Max
400,Better,Khalid
401,Going Bad,Meek Mill Featuring Drake
402,Talk You Out Of It,Florida Georgia Line
403,Gold Roses,Rick Ross Featuring Drake
404,Just Us,DJ Khaled Featuring SZA
405,Small Talk,Katy Perry
406,Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair"
407,Snake Skin,Trippie Redd
408,24/7,Meek Mill Featuring Ella Mai
409,Love Ain't,Eli Young Band
410,Sanguine Paradise,Lil Uzi Vert
411,Tap,NAV Featuring Meek Mill
412,La La Land,Bryce Vine Featuring YG
413,Que Pretendes,J Balvin & Bad Bunny
414,Single Again,Big Sean
415,Worth It,YK Osiris
416,Shallow,Lady Gaga & Bradley Cooper
417,Trust Issues,Drake
418,How About Now,Drake
419,The Motion,Drake
420,Dreams Money Can Buy,Drake
421,Club Paradise,Drake
422,Antisocial,Ed Sheeran & Travis Scott
423,Fear Inoculum,Tool
424,Days In The East,Drake
425,Before I Let Go,Beyonce
426,High Hopes,Panic! At The Disco
427,Sicko Mode,Travis Scott
428,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
429,Leave Me Alone,NF
430,The Search,NF
431,MEGATRON,Nicki Minaj
432,All Day Long,Chance The Rapper Featuring John Legend
433,Do You Remember,Chance The Rapper Featuring Death Cab For Cutie
434,Calma,Pedro Capo X Farruko
435,Cool,Jonas Brothers
436,Nightmare,Halsey
437,Rumor,Lee Brice
438,Act Up,City Girls
439,GIRL,Maren Morris
440,Con Calma,Daddy Yankee & Katy Perry Featuring Snow
441,Middle Child,J. Cole
442,Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter"
443,Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby"
444,Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare"
445,Pure Water,Mustard & Migos
446,Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent
447,Walk Me Home,P!nk
448,Look What God Gave Her,Thomas Rhett
449,BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
450,Like A Rodeo,Kane Brown
451,Spirit,Beyonce
452,Best Part Of Me,Ed Sheeran Featuring YEBBA
453,Wake Up,Travis Scott
454,Eastside,"benny blanco, Halsey & Khalid"
455,Look Back At It,A Boogie Wit da Hoodie
456,Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy"
457,Good As You,Kane Brown
458,Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God"
459,Out The Mud,Lil Baby Featuring Future
460,Girls Need Love,Summer Walker X Drake
461,Mother's Daughter,Miley Cyrus
462,Ocean Eyes,Billie Eilish
463,Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink
464,Homicide,Logic Featuring Eminem
465,Please Me,Cardi B & Bruno Mars
466,When I Grow Up,NF
467,Eyes On You,Chase Rice
468,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo"
469,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
470,Here With Me,Marshmello Featuring CHVRCHES
471,Love Someone,Brett Eldredge
472,Big Ole Freak,Megan Thee Stallion
473,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih"
474,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
475,Omerta,Drake
476,Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump
477,When The Party's Over,Billie Eilish
478,Envy Me,Calboy
479,Miss Me More,Kelsea Ballerini
480,Sanctuary,Joji
481,Rescue Me,Marshmello Featuring A Day To Remember
482,Te Robare,Nicky Jam X Ozuna
483,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
484,Beautiful Crazy,Luke Combs
485,Close Friends,Lil Baby
486,Bury A Friend,Billie Eilish
487,Put A Date On It,Yo Gotti Featuring Lil Baby
488,Heaven,Avicii
489,Please Tell Me,Future
490,On My Way To You,Cody Johnson
491,Amor Genuino,Ozuna
492,XanaX Damage,Future
493,Government Official,Future
494,Murder On My Mind,YNW Melly
495,Isis,Joyner Lucas Featuring Logic
496,Boy With Luv,BTS Featuring Halsey
497,Shut Up About Politics,John Rich Featuring The Five
498,Under Enemy Arms,Trippie Redd
499,Night Shift,Jon Pardi
500,A Lot,21 Savage
501,Thotiana,Blueface
502,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend
503,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
504,Don't Call Me Up,Mabel
505,Earth,Lil Dicky
506,HP,Maluma
507,Mixed Personalities,YNW Melly Featuring Kanye West
508,Paradise,Bazzi
509,Triggered,Jhene Aiko
510,Girls Like You,Maroon 5 Featuring Cardi B
511,I Think,"Tyler, The Creator"
512,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone
513,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
514,Running Out Of Time,"Tyler, The Creator"
515,Igor's Theme,"Tyler, The Creator"
516,New Magic Wand,"Tyler, The Creator"
517,A Boy Is A Gun,"Tyler, The Creator"
518,What's Good,"Tyler, The Creator"
519,Puppet,"Tyler, The Creator"
520,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby
521,Here Tonight,Brett Young
522,Be Alright,Dean Lewis
523,Drip Too Hard,Lil Baby & Gunna
524,"Thank U, Next",Ariana Grande
525,Baby Shark,Pinkfong
526,Make It Sweet,Old Dominion
527,Shot Clock,Ella Mai
528,I'm So Tired...,Lauv & Troye Sivan
529,You Should See Me In A Crown,Billie Eilish
530,SOS,Avicii Featuring Aloe Blacc
531,Wish You Were Gay,Billie Eilish
532,That's A Rack,Lil Uzi Vert
533,Rule The World,2 Chainz Featuring Ariana Grande
534,Die Young,Roddy Ricch
535,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
536,You Say,Lauren Daigle
537,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
538,Power Is Power,"SZA, The Weeknd & Travis Scott"
539,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
540,Secreto,Anuel AA & Karol G
541,Faucet Failure,Ski Mask The Slump God
542,Youngblood,5 Seconds Of Summer
543,Floating,ScHoolboy Q Featuring 21 Savage
544,CHopstix,ScHoolboy Q + Travis Scott
545,Numb Numb Juice,ScHoolboy Q
546,Love Me Anyway,P!nk Featuring Chris Stapleton
547,Stop Snitching,YG
548,Kill This Love,BLACKPINK
549,Better Now,Post Malone
550,Bad Liar,Imagine Dragons
551,Saturday Nights,Khalid & Kane Brown
552,Pure Cocaine,Lil Baby
553,This Is It,Scotty McCreery
554,My Strange Addiction,Billie Eilish
555,Let Me Down Slowly,Alec Benjamin + Alessia Cara
556,Xanny,Billie Eilish
557,One That Got Away,Michael Ray
558,MIA,Bad Bunny Featuring Drake
559,Tequila,Dan + Shay
560,Money,Cardi B
561,Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
562,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY
563,Undrunk,FLETCHER
564,Last Time That I Checc'd,Nipsey Hussle Featuring YG
565,There Was This Girl,Riley Green
566,My Bad,Khalid
567,Outta My Head,Khalid With John Mayer
